,Married/Single,House_Ownership,Car_Ownership,CITY,Age,Experience,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_feature
212903,1,2,1,45,60,10,5,11,0
93969,1,2,0,280,66,18,12,10,0
186270,1,2,0,187,59,14,14,14,0
200749,1,2,0,303,32,3,3,11,0
183984,1,2,0,162,21,18,8,12,0
224767,1,2,0,10,54,12,8,10,0
231509,0,2,0,250,54,7,7,10,0
21838,0,2,0,11,24,14,10,12,0
133115,1,0,1,106,75,17,11,14,0
118799,1,0,0,91,76,20,11,14,0
34510,1,2,0,211,79,13,5,10,0
151551,1,2,0,226,47,7,7,11,0
211449,1,2,1,105,28,14,5,13,0
63546,1,2,0,167,43,8,5,13,0
77174,1,1,1,65,38,17,14,13,0
242417,1,2,0,162,74,9,9,11,0
146169,1,2,0,164,30,19,10,12,0
130446,1,2,1,176,41,9,6,14,0
86792,1,2,0,119,51,16,5,14,0
234052,0,2,0,40,76,8,6,13,0
213487,1,2,0,273,48,19,13,13,0
215398,1,2,0,293,53,19,14,12,0
197299,0,2,1,292,78,6,6,12,0
59136,1,2,1,87,34,15,13,11,0
36501,1,2,0,111,42,4,4,12,0
86829,1,2,0,31,25,12,12,12,0
112002,1,2,0,273,49,9,9,11,0
167194,1,2,1,139,46,11,11,14,0
227449,1,2,0,191,26,3,3,13,0
68200,1,2,0,218,21,12,7,14,0
199362,1,2,0,312,36,15,4,11,0
225341,1,2,0,251,53,4,4,14,0
91858,1,2,0,205,37,5,5,13,0
113306,1,2,1,128,55,13,11,14,0
149242,1,2,0,110,79,1,1,14,0
49718,1,2,0,214,64,7,7,10,0
18126,1,2,0,241,24,13,4,11,0
222104,1,0,1,20,38,12,12,10,0
173254,1,2,1,106,39,12,12,13,0
146142,1,2,0,165,68,7,7,10,0
156782,1,2,0,105,43,20,11,14,0
18093,1,2,0,113,79,6,6,11,0
156501,1,2,0,285,71,9,6,11,0
94809,1,2,0,239,61,3,3,14,0
60885,1,2,0,311,26,12,10,11,0
60322,1,2,1,45,28,7,7,12,0
196672,0,2,1,158,73,14,14,11,0
27515,1,1,1,91,68,10,5,14,0
191817,1,1,0,313,51,16,8,13,0
162068,1,2,0,298,39,10,10,10,0
73064,1,2,1,6,49,5,5,13,0
224827,1,2,0,90,59,5,5,12,0
206803,1,2,0,305,77,14,7,13,0
181691,1,2,0,37,34,8,6,13,0
204381,1,2,0,162,77,11,3,14,0
8909,1,2,0,222,27,6,3,10,0
94642,1,2,0,72,46,7,3,10,0
30468,1,2,0,144,38,12,10,13,0
70372,1,2,1,17,55,2,2,10,0
43438,1,2,0,58,30,6,6,10,0
114575,1,2,0,196,73,9,8,10,0
117812,1,1,1,125,68,13,11,13,0
78286,1,2,1,107,35,14,14,10,0
196453,1,2,0,128,29,12,10,13,0
64022,1,1,0,145,67,13,9,10,0
96653,1,2,1,154,33,18,6,13,0
143837,1,2,0,171,23,19,9,10,0
165820,0,2,0,255,75,9,9,11,0
133821,0,2,1,294,50,9,5,10,0
47912,1,2,1,50,39,17,10,13,0
190750,1,2,0,121,59,19,5,14,0
186004,1,2,0,185,76,9,9,11,0
185685,1,2,1,87,25,3,3,14,0
156971,1,2,0,38,57,6,6,11,0
1140,0,2,0,309,74,3,3,13,0
65145,1,2,1,75,45,3,3,14,0
34893,0,2,1,231,31,6,6,12,0
189706,1,1,0,31,23,19,6,14,0
48915,0,2,1,215,51,0,0,11,0
137173,1,1,0,38,27,14,8,14,0
131246,1,2,0,298,38,0,0,14,0
167504,0,2,0,284,67,12,7,10,0
230580,1,2,1,43,62,8,3,13,0
200973,1,2,0,61,79,11,11,13,0
202775,1,2,1,308,49,3,3,12,0
174654,1,2,0,271,22,14,11,11,0
188974,1,2,0,0,22,4,4,14,0
1206,1,2,0,119,30,3,3,14,0
223890,1,2,0,65,73,11,10,14,0
92338,1,2,0,100,33,8,8,11,0
190747,0,2,1,50,68,1,1,11,0
127520,0,2,0,291,35,19,12,10,0
220386,1,2,0,105,21,19,4,14,0
24294,1,1,0,307,44,18,9,10,0
102952,1,2,0,290,23,15,5,14,0
45598,1,2,1,309,62,8,8,11,0
5360,1,2,1,240,43,7,3,11,0
